T_review,strategy,hiring_mode,seed,cum_pi,mean_K_active,n_hired_total,n_review_fired_total,dial,alpha_mean,q_a,c_auto,p
5.0,all_H,enable_hiring,0,5539.596955506462,89.91666666666667,0,11,T_review,,,,
5.0,all_H,enable_hiring,1,5314.930038204191,91.75,0,9,T_review,,,,
5.0,all_H,enable_hiring,2,5490.450829953006,97.25,0,3,T_review,,,,
5.0,all_H,enable_hiring,3,5285.305603144112,89.08333333333333,0,12,T_review,,,,
5.0,all_H,enable_hiring,4,5478.895271048888,90.0,0,11,T_review,,,,
5.0,greedy_with_switching,enable_hiring,0,4670.767469189877,43.083333333333336,0,49,T_review,,,,
5.0,greedy_with_switching,enable_hiring,1,5265.457036646769,60.083333333333336,0,33,T_review,,,,
5.0,greedy_with_switching,enable_hiring,2,4708.822537213923,61.0,0,27,T_review,,,,
5.0,greedy_with_switching,enable_hiring,3,4909.387060707419,43.833333333333336,0,45,T_review,,,,
5.0,greedy_with_switching,enable_hiring,4,4447.948075021617,46.5,0,45,T_review,,,,
5.0,horizon_optimizer,enable_hiring,0,7139.0614247022895,79.16666666666667,0,23,T_review,,,,
5.0,horizon_optimizer,enable_hiring,1,6717.31410476842,84.75,0,17,T_review,,,,
5.0,horizon_optimizer,enable_hiring,2,6870.085064639291,89.08333333333333,0,13,T_review,,,,
5.0,horizon_optimizer,enable_hiring,3,6676.355322144887,82.83333333333333,0,19,T_review,,,,
5.0,horizon_optimizer,enable_hiring,4,7139.705508500296,81.75,0,20,T_review,,,,
10.0,all_H,enable_hiring,0,5473.206719785867,90.83333333333333,0,11,T_review,,,,
10.0,all_H,enable_hiring,1,5266.345122159769,92.5,0,9,T_review,,,,
10.0,all_H,enable_hiring,2,5479.324418222168,97.5,0,3,T_review,,,,
10.0,all_H,enable_hiring,3,5233.479825566879,90.16666666666667,0,12,T_review,,,,
10.0,all_H,enable_hiring,4,5427.528248143752,91.0,0,11,T_review,,,,
10.0,greedy_with_switching,enable_hiring,0,4249.180962428529,46.166666666666664,0,49,T_review,,,,
10.0,greedy_with_switching,enable_hiring,1,4994.29059668775,62.166666666666664,0,33,T_review,,,,
10.0,greedy_with_switching,enable_hiring,2,4470.236320936105,63.0,0,27,T_review,,,,
10.0,greedy_with_switching,enable_hiring,3,4463.220335461972,46.666666666666664,0,45,T_review,,,,
10.0,greedy_with_switching,enable_hiring,4,4076.4243662703248,49.0,0,45,T_review,,,,
10.0,horizon_optimizer,enable_hiring,0,6999.268752327045,81.33333333333333,0,23,T_review,,,,
10.0,horizon_optimizer,enable_hiring,1,6598.091888468036,86.5,0,17,T_review,,,,
10.0,horizon_optimizer,enable_hiring,2,6765.618738933614,91.16666666666667,0,13,T_review,,,,
10.0,horizon_optimizer,enable_hiring,3,6561.523498537821,84.66666666666667,0,19,T_review,,,,
10.0,horizon_optimizer,enable_hiring,4,7030.596842871724,83.5,0,20,T_review,,,,
20.0,all_H,enable_hiring,0,5340.426248344677,92.66666666666667,0,11,T_review,,,,
20.0,all_H,enable_hiring,1,5169.175290070923,94.0,0,9,T_review,,,,
20.0,all_H,enable_hiring,2,5457.071594760493,98.0,0,3,T_review,,,,
20.0,all_H,enable_hiring,3,5129.828270412412,92.33333333333333,0,12,T_review,,,,
20.0,all_H,enable_hiring,4,5324.794202333476,93.0,0,11,T_review,,,,
20.0,greedy_with_switching,enable_hiring,0,3406.007948905831,52.333333333333336,0,49,T_review,,,,
20.0,greedy_with_switching,enable_hiring,1,4451.957716769714,66.33333333333333,0,33,T_review,,,,
20.0,greedy_with_switching,enable_hiring,2,3993.063888380467,67.0,0,27,T_review,,,,
20.0,greedy_with_switching,enable_hiring,3,3570.886884971084,52.333333333333336,0,45,T_review,,,,
20.0,greedy_with_switching,enable_hiring,4,3333.37694876774,54.0,0,45,T_review,,,,
20.0,horizon_optimizer,enable_hiring,0,6721.683407576556,85.66666666666667,0,22,T_review,,,,
20.0,horizon_optimizer,enable_hiring,1,6361.6474558672635,90.0,0,16,T_review,,,,
20.0,horizon_optimizer,enable_hiring,2,6594.942350676175,94.66666666666667,0,9,T_review,,,,
20.0,horizon_optimizer,enable_hiring,3,6333.859851323692,88.33333333333333,0,18,T_review,,,,
20.0,horizon_optimizer,enable_hiring,4,6812.379511614583,87.0,0,20,T_review,,,,
inf,all_H,enable_hiring,0,4831.30436257992,100.0,0,0,T_review,,,,
inf,all_H,enable_hiring,1,4798.495961715544,100.0,0,0,T_review,,,,
inf,all_H,enable_hiring,2,5374.06030091379,100.0,0,0,T_review,,,,
inf,all_H,enable_hiring,3,4803.3720997347355,100.0,0,0,T_review,,,,
