T_review,strategy,hiring_mode,seed,cum_pi,mean_K_active,n_hired_total,n_review_fired_total
inf,all_H,off,0,4831.30436257992,100.0,0,0
inf,all_H,off,1,4798.495961715544,100.0,0,0
inf,all_H,off,2,5374.06030091379,100.0,0,0
inf,all_H,off,3,4803.3720997347355,100.0,0,0
inf,all_H,off,4,4978.648128976311,100.0,0,0
inf,all_A,off,0,5766.782046656284,100.0,0,0
inf,all_A,off,1,5638.671096885356,100.0,0,0
inf,all_A,off,2,6258.968949219838,100.0,0,0
inf,all_A,off,3,5626.16756200078,100.0,0,0
inf,all_A,off,4,6009.900888342558,100.0,0,0
inf,all_T,off,0,4604.433467215039,0.0,0,0
inf,all_T,off,1,4509.300058331772,0.0,0,0
inf,all_T,off,2,4679.6274133082325,0.0,0,0
inf,all_T,off,3,4358.35585796789,0.0,0,0
inf,all_T,off,4,4457.971493430448,0.0,0,0
inf,greedy_with_switching,off,0,3865.646336395715,75.0,0,0
inf,greedy_with_switching,off,1,4564.587603351169,83.0,0,0
inf,greedy_with_switching,off,2,4994.77605937902,82.0,0,0
inf,greedy_with_switching,off,3,3686.894082799835,74.0,0,0
inf,greedy_with_switching,off,4,3915.410200726195,74.0,0,0
inf,horizon_brute,off,0,4604.433467215039,0.0,0,0
inf,horizon_brute,off,1,4509.300058331772,0.0,0,0
inf,horizon_brute,off,2,4679.6274133082325,0.0,0,0
inf,horizon_brute,off,3,4358.35585796789,0.0,0,0
inf,horizon_brute,off,4,4457.971493430448,0.0,0,0
inf,horizon_optimizer,off,0,5766.782046656284,100.0,0,0
inf,horizon_optimizer,off,1,5638.671096885356,100.0,0,0
inf,horizon_optimizer,off,2,6258.968949219838,100.0,0,0
inf,horizon_optimizer,off,3,5626.16756200078,100.0,0,0
inf,horizon_optimizer,off,4,6009.900888342558,100.0,0,0
inf,all_H,enable_hiring,0,4831.30436257992,100.0,0,0
inf,all_H,enable_hiring,1,4798.495961715544,100.0,0,0
inf,all_H,enable_hiring,2,5374.06030091379,100.0,0,0
inf,all_H,enable_hiring,3,4803.3720997347355,100.0,0,0
inf,all_H,enable_hiring,4,4978.648128976311,100.0,0,0
inf,all_A,enable_hiring,0,5766.782046656284,100.0,0,0
inf,all_A,enable_hiring,1,5638.671096885356,100.0,0,0
inf,all_A,enable_hiring,2,6258.968949219838,100.0,0,0
inf,all_A,enable_hiring,3,5626.16756200078,100.0,0,0
inf,all_A,enable_hiring,4,6009.900888342558,100.0,0,0
inf,all_T,enable_hiring,0,4604.433467215039,0.0,0,0
inf,all_T,enable_hiring,1,4509.300058331772,0.0,0,0
inf,all_T,enable_hiring,2,4679.6274133082325,0.0,0,0
inf,all_T,enable_hiring,3,4358.35585796789,0.0,0,0
inf,all_T,enable_hiring,4,4457.971493430448,0.0,0,0
inf,greedy_with_switching,enable_hiring,0,3865.646336395715,75.0,0,0
inf,greedy_with_switching,enable_hiring,1,4564.587603351169,83.0,0,0
inf,greedy_with_switching,enable_hiring,2,4994.77605937902,82.0,0,0
inf,greedy_with_switching,enable_hiring,3,3686.894082799835,74.0,0,0
inf,greedy_with_switching,enable_hiring,4,3915.410200726195,74.0,0,0
inf,horizon_brute,enable_hiring,0,4604.433467215039,0.0,0,0
inf,horizon_brute,enable_hiring,1,4509.300058331772,0.0,0,0
inf,horizon_brute,enable_hiring,2,4679.6274133082325,0.0,0,0
inf,horizon_brute,enable_hiring,3,4358.35585796789,0.0,0,0
inf,horizon_brute,enable_hiring,4,4457.971493430448,0.0,0,0
inf,horizon_optimizer,enable_hiring,0,5766.782046656284,100.0,0,0
inf,horizon_optimizer,enable_hiring,1,5638.671096885356,100.0,0,0
inf,horizon_optimizer,enable_hiring,2,6258.968949219838,100.0,0,0
inf,horizon_optimizer,enable_hiring,3,5626.16756200078,100.0,0,0
inf,horizon_optimizer,enable_hiring,4,6009.900888342558,100.0,0,0
inf,all_H,enable_replenish_hiring,0,4831.30436257992,100.0,0,0
inf,all_H,enable_replenish_hiring,1,4798.495961715544,100.0,0,0
inf,all_H,enable_replenish_hiring,2,5374.06030091379,100.0,0,0
inf,all_H,enable_replenish_hiring,3,4803.3720997347355,100.0,0,0
